n_cells,seed,method,est_time,num_calls
20,0,nj,19.00271921,190
20,0,dlca_nj,19.00136075,190
20,0,srnj1,9.40352429,94
20,0,srnj,15.60383546,156
20,0,srnj_maxlca,14.80386425,148
20,0,snj,18.70577038,187
20,1,nj,19.00201363,190
20,1,dlca_nj,19.00104013,190
20,1,srnj1,9.60348192,96
20,1,srnj,16.90402342,169
20,1,srnj_maxlca,17.40364812,174
20,1,snj,18.70564258,187
20,2,nj,19.00186221,190
20,2,dlca_nj,19.00099092,190
20,2,srnj1,10.60406833,106
20,2,srnj,16.50365050,165
20,2,srnj_maxlca,15.00322483,150
20,2,snj,18.20485933,182
20,3,nj,19.00198238,190
20,3,dlca_nj,19.00122392,190
20,3,srnj1,10.20386888,102
20,3,srnj,16.60379387,166
20,3,srnj_maxlca,15.50372108,155
20,3,snj,18.20537363,182
20,4,nj,19.00194704,190
20,4,dlca_nj,19.00107479,190
20,4,srnj1,9.80339729,98
20,4,srnj,16.40459029,164
20,4,srnj_maxlca,16.20367417,162
20,4,snj,18.70516654,187
20,5,nj,19.00216342,190
20,5,dlca_nj,19.00102617,190
20,5,srnj1,10.40505263,104
20,5,srnj,16.70429983,167
20,5,srnj_maxlca,16.30353996,163
20,5,snj,18.50543692,185
20,6,nj,19.00188008,190
20,6,dlca_nj,19.00112604,190
20,6,srnj1,9.60346087,96
20,6,srnj,16.80383554,168
20,6,srnj_maxlca,15.10446908,151
20,6,snj,18.40527167,184
20,7,nj,19.00239613,190
20,7,dlca_nj,19.00100608,190
20,7,srnj1,9.80340613,98
20,7,srnj,16.60408042,166
20,7,srnj_maxlca,16.40359104,164
20,7,snj,18.80555442,188
20,8,nj,19.00191225,190
20,8,dlca_nj,19.00101879,190
20,8,srnj1,10.20374729,102
20,8,srnj,16.60417296,166
20,8,srnj_maxlca,14.20345937,142
20,8,snj,18.50535008,185
20,9,nj,19.00188446,190
20,9,dlca_nj,19.00104696,190
20,9,srnj1,10.10397142,101
20,9,srnj,16.20407962,162
20,9,srnj_maxlca,16.50406496,165
20,9,snj,17.90533317,179
20,10,nj,19.00220496,190
20,10,dlca_nj,19.00106483,190
20,10,srnj1,9.70341183,97
20,10,srnj,15.90452554,159
20,10,srnj_maxlca,15.40498367,154
20,10,snj,18.70585000,187
20,11,nj,19.00187167,190
20,11,dlca_nj,19.00130483,190
20,11,srnj1,9.70405708,97
20,11,srnj,16.40366183,164
20,11,srnj_maxlca,15.60353579,156
20,11,snj,18.80578662,188
20,12,nj,19.00195437,190
20,12,dlca_nj,19.00114146,190
20,12,srnj1,9.40349558,94
20,12,srnj,15.40383671,154
20,12,srnj_maxlca,14.90353242,149
20,12,snj,18.70564575,187
20,13,nj,19.00212242,190
20,13,dlca_nj,19.00099454,190
20,13,srnj1,9.60341987,96
20,13,srnj,14.50398850,145
20,13,srnj_maxlca,14.40365217,144
