n_cells,seed,strategy,correct_A,correct_B,correct_pair,correct_direction,total_decisions,pair_accuracy,side_accuracy,direction_accuracy
20,0,gt_min,50,50,50,50,50,1.0,1.0,1.0
20,0,gt_max_lca,50,50,50,50,50,1.0,1.0,1.0
20,0,hamming,44,43,39,48,48,0.8125,0.90625,1.0
20,0,hamming_max_lca,48,46,43,51,51,0.8431372549019608,0.9215686274509803,1.0
20,0,nll,49,48,45,52,52,0.8653846153846154,0.9326923076923077,1.0
20,0,nll_max_lca,52,49,48,53,53,0.9056603773584906,0.9528301886792453,1.0
20,1,gt_min,53,53,53,53,53,1.0,1.0,1.0
20,1,gt_max_lca,51,51,51,51,51,1.0,1.0,1.0
20,1,hamming,40,44,33,51,51,0.6470588235294118,0.8235294117647058,1.0
20,1,hamming_max_lca,50,44,42,52,52,0.8076923076923077,0.9038461538461539,1.0
20,1,nll,44,45,37,52,52,0.7115384615384616,0.8557692307692307,1.0
20,1,nll_max_lca,50,48,46,52,52,0.8846153846153846,0.9423076923076923,1.0
20,2,gt_min,54,54,54,54,54,1.0,1.0,1.0
20,2,gt_max_lca,50,50,50,50,50,1.0,1.0,1.0
20,2,hamming,43,43,35,51,51,0.6862745098039216,0.8431372549019608,1.0
20,2,hamming_max_lca,46,47,42,51,51,0.8235294117647058,0.9117647058823529,1.0
20,2,nll,46,49,43,52,52,0.8269230769230769,0.9134615384615384,1.0
20,2,nll_max_lca,48,48,46,50,50,0.92,0.96,1.0
20,3,gt_min,52,52,52,52,52,1.0,1.0,1.0
20,3,gt_max_lca,48,48,48,48,48,1.0,1.0,1.0
20,3,hamming,44,42,36,50,50,0.72,0.86,1.0
20,3,hamming_max_lca,47,47,44,50,50,0.88,0.94,1.0
20,3,nll,37,43,31,49,49,0.6326530612244898,0.8163265306122449,1.0
20,3,nll_max_lca,47,49,47,49,49,0.9591836734693877,0.9795918367346939,1.0
20,4,gt_min,50,50,50,50,50,1.0,1.0,1.0
20,4,gt_max_lca,49,49,49,49,49,1.0,1.0,1.0
20,4,hamming,43,43,36,50,50,0.72,0.86,1.0
20,4,hamming_max_lca,43,44,39,48,48,0.8125,0.90625,1.0
20,4,nll,39,47,37,49,49,0.7551020408163265,0.8775510204081632,1.0
20,4,nll_max_lca,48,47,45,50,50,0.9,0.95,1.0
20,5,gt_min,50,50,50,50,50,1.0,1.0,1.0
20,5,gt_max_lca,49,49,49,49,49,1.0,1.0,1.0
20,5,hamming,42,40,36,46,46,0.782608695652174,0.8913043478260869,1.0
20,5,hamming_max_lca,47,49,44,52,52,0.8461538461538461,0.9230769230769231,1.0
20,5,nll,36,45,34,47,47,0.723404255319149,0.8617021276595744,1.0
20,5,nll_max_lca,51,50,49,52,52,0.9423076923076923,0.9711538461538461,1.0
20,6,gt_min,50,50,50,50,50,1.0,1.0,1.0
20,6,gt_max_lca,50,50,50,50,50,1.0,1.0,1.0
20,6,hamming,35,45,30,50,50,0.6,0.8,1.0
20,6,hamming_max_lca,43,44,39,48,48,0.8125,0.90625,1.0
20,6,nll,40,41,35,46,46,0.7608695652173914,0.8804347826086957,1.0
20,6,nll_max_lca,46,47,45,48,48,0.9375,0.96875,1.0
20,7,gt_min,51,51,51,51,51,1.0,1.0,1.0
20,7,gt_max_lca,51,51,51,51,51,1.0,1.0,1.0
20,7,hamming,42,51,38,55,55,0.6909090909090909,0.8454545454545455,1.0
20,7,hamming_max_lca,45,44,40,49,49,0.8163265306122449,0.9081632653061225,1.0
20,7,nll,39,47,37,49,49,0.7551020408163265,0.8775510204081632,1.0
20,7,nll_max_lca,49,49,47,51,51,0.9215686274509803,0.9607843137254902,1.0
20,8,gt_min,56,56,56,56,56,1.0,1.0,1.0
20,8,gt_max_lca,54,54,54,54,54,1.0,1.0,1.0
20,8,hamming,40,42,34,48,48,0.7083333333333334,0.8541666666666666,1.0
20,8,hamming_max_lca,48,46,44,50,50,0.88,0.94,1.0
20,8,nll,47,44,40,51,51,0.7843137254901961,0.8921568627450981,1.0
20,8,nll_max_lca,50,51,50,51,51,0.9803921568627451,0.9901960784313726,1.0
20,9,gt_min,50,50,50,50,50,1.0,1.0,1.0
20,9,gt_max_lca,48,48,48,48,48,1.0,1.0,1.0
20,9,hamming,34,44,29,49,49,0.5918367346938775,0.7959183673469388,1.0
20,9,hamming_max_lca,48,44,41,51,51,0.803921568627451,0.9019607843137255,1.0
20,9,nll,42,42,38,46,46,0.8260869565217391,0.9130434782608695,1.0
20,9,nll_max_lca,46,45,44,47,47,0.9361702127659575,0.9680851063829787,1.0
20,10,gt_min,49,49,49,49,49,1.0,1.0,1.0
20,10,gt_max_lca,48,48,48,48,48,1.0,1.0,1.0
20,10,hamming,34,43,27,50,50,0.54,0.77,1.0
20,10,hamming_max_lca,44,45,42,47,47,0.8936170212765957,0.9468085106382979,1.0
20,10,nll,43,43,37,49,49,0.7551020408163265,0.8775510204081632,1.0
20,10,nll_max_lca,49,51,49,51,51,0.9607843137254902,0.9803921568627451,1.0
20,11,gt_min,49,49,49,49,49,1.0,1.0,1.0
20,11,gt_max_lca,48,48,48,48,48,1.0,1.0,1.0
20,11,hamming,36,45,32,49,49,0.6530612244897959,0.826530612244898,1.0
20,11,hamming_max_lca,49,50,45,54,54,0.8333333333333334,0.9166666666666666,1.0
20,11,nll,42,41,35,48,48,0.7291666666666666,0.8645833333333334,1.0
20,11,nll_max_lca,48,48,47,49,49,0.9591836734693877,0.9795918367346939,1.0
20,12,gt_min,47,47,47,47,47,1.0,1.0,1.0
20,12,gt_max_lca,49,49,49,49,49,1.0,1.0,1.0
20,12,hamming,34,44,32,46,46,0.6956521739130435,0.8478260869565217,1.0
20,12,hamming_max_lca,40,42,36,43,46,0.782608695652174,0.8913043478260869,0.9347826086956522
20,12,nll,42,45,38,49,49,0.7755102040816326,0.8877551020408163,1.0
20,12,nll_max_lca,46,46,44,48,48,0.9166666666666666,0.9583333333333334,1.0
20,13,gt_min,51,51,51,51,51,1.0,1.0,1.0
20,13,gt_max_lca,52,52,52,52,52,1.0,1.0,1.0
20,13,hamming,42,42,34,50,50,0.68,0.84,1.0
20,13,hamming_max_lca,46,47,43,50,50,0.86,0.93,1.0
20,13,nll,48,48,45,51,51,0.8823529411764706,0.9411764705882353,1.0
20,13,nll_max_lca,44,44,42,46,46,0.9130434782608695,0.9565217391304348,1.0
20,14,gt_min,50,50,50,50,50,1.0,1.0,1.0
20,14,gt_max_lca,49,49,49,49,49,1.0,1.0,1.0
20,14,hamming,43,39,32,50,50,0.64,0.82,1.0
20,14,hamming_max_lca,46,45,41,50,50,0.82,0.91,1.0
20,14,nll,47,41,39,49,49,0.7959183673469388,0.8979591836734694,1.0
20,14,nll_max_lca,45,45,43,47,47,0.9148936170212766,0.9574468085106383,1.0
20,15,gt_min,52,52,52,52,52,1.0,1.0,1.0
20,15,gt_max_lca,49,49,49,49,49,1.0,1.0,1.0
20,15,hamming,39,40,30,49,49,0.6122448979591837,0.8061224489795918,1.0
20,15,hamming_max_lca,45,44,43,46,46,0.9347826086956522,0.967391304347826,1.0
20,15,nll,43,48,40,51,51,0.7843137254901961,0.8921568627450981,1.0
20,15,nll_max_lca,47,48,47,48,48,0.9791666666666666,0.9895833333333334,1.0
20,16,gt_min,53,53,53,53,53,1.0,1.0,1.0
20,16,gt_max_lca,51,51,51,51,51,1.0,1.0,1.0
20,16,hamming,40,37,29,48,48,0.6041666666666666,0.8020833333333334,1.0
20,16,hamming_max_lca,48,49,45,52,52,0.8653846153846154,0.9326923076923077,1.0
20,16,nll,41,45,36,50,50,0.72,0.86,1.0
20,16,nll_max_lca,50,48,48,50,50,0.96,0.98,1.0
20,17,gt_min,52,52,52,52,52,1.0,1.0,1.0
20,17,gt_max_lca,52,52,52,52,52,1.0,1.0,1.0
20,17,hamming,36,39,26,49,49,0.5306122448979592,0.7653061224489796,1.0
20,17,hamming_max_lca,46,46,42,50,50,0.84,0.92,1.0
20,17,nll,48,50,46,52,52,0.8846153846153846,0.9423076923076923,1.0
