Sample,Method,ParsimonyScore,F1Score
0,SRNJ,10222,0.6246774810107005
0,DLCA-NJ,10225,0.7740480572059519
0,SNJ,10227,0.6548793555199249
0,NJ,10221,0.7524210417414301
1,SRNJ,10129,0.6711827956989248
1,DLCA-NJ,10123,0.8289520127084762
1,SNJ,10118,0.6472775715394388
1,NJ,10123,0.8668083755159982
2,SRNJ,10000,0.5888170652876535
2,DLCA-NJ,9997,0.7781202390718388
2,SNJ,9989,0.5794497354497354
2,NJ,9987,0.7314918843573401
3,SRNJ,10020,0.5106349206349206
3,DLCA-NJ,10014,0.8146755852842809
3,SNJ,10023,0.6689391189572678
3,NJ,10014,0.7863496503496503
4,SRNJ,10432,0.5963827121829002
4,DLCA-NJ,10426,0.7704987890093358
4,SNJ,10425,0.6381725103834637
4,NJ,10429,0.7786901270772238
5,SRNJ,10161,0.6540675655203757
5,DLCA-NJ,10158,0.8005733287467033
5,SNJ,10147,0.7111100784739689
5,NJ,10153,0.8010329820145771
6,SRNJ,9991,0.660989010989011
6,DLCA-NJ,9984,0.7585161964472309
6,SNJ,9983,0.6532916691466777
6,NJ,9981,0.7516666666666667
7,SRNJ,9692,0.6508473623563138
7,DLCA-NJ,9683,0.7385002736726876
7,SNJ,9689,0.6863561559952542
7,NJ,9683,0.7825974306380223
8,SRNJ,10114,0.5580202250391681
8,DLCA-NJ,10111,0.7268070175438597
8,SNJ,10109,0.6141507870753935
8,NJ,10116,0.7356959064327486
9,SRNJ,10033,0.5457867333125066
9,DLCA-NJ,10025,0.6816080678072516
9,SNJ,10029,0.6112611445839667
9,NJ,10030,0.7953528153955809
10,SRNJ,9980,0.5409308807134894
10,DLCA-NJ,9977,0.8340794407382603
10,SNJ,9982,0.5904673807205453
10,NJ,9970,0.7669421265421226
11,SRNJ,10060,0.6133275679544336
11,DLCA-NJ,10051,0.7216161616161616
11,SNJ,10056,0.6444736842105263
11,NJ,10055,0.7502954723370169
12,SRNJ,9773,0.575036075036075
12,DLCA-NJ,9767,0.7569796422203499
12,SNJ,9770,0.6358931447948202
12,NJ,9765,0.756984126984127
13,SRNJ,9885,0.6294628692301881
13,DLCA-NJ,9888,0.7484665789730098
13,SNJ,9885,0.6607530892265719
13,NJ,9888,0.7382553519539821
14,SRNJ,10084,0.5956523394735589
14,DLCA-NJ,10076,0.8467032967032967
14,SNJ,10072,0.4454961671188851
14,NJ,10077,0.7921604654723626
15,SRNJ,9524,0.5954268248201806
15,DLCA-NJ,9516,0.7457765339592549
15,SNJ,9511,0.6992746910255582
15,NJ,9514,0.6811002520130309
16,SRNJ,9785,0.6101514860977948
16,DLCA-NJ,9780,0.7600918484500573
16,SNJ,9786,0.5377091377091376
16,NJ,9771,0.7290798885927826
17,SRNJ,9793,0.596752113169303
17,DLCA-NJ,9790,0.77416199108042
17,SNJ,9790,0.48962824678238703
17,NJ,9788,0.7590516542627662
18,SRNJ,9708,0.6424445735308355
18,DLCA-NJ,9700,0.7982410877064299
18,SNJ,9707,0.6189649992489109
18,NJ,9695,0.7403935706774825
19,SRNJ,10195,0.6994963069717167
19,DLCA-NJ,10200,0.8737188923939712
19,SNJ,10199,0.7516274070756829
19,NJ,10189,0.8761431348182136
20,SRNJ,9928,0.542612231620039
20,DLCA-NJ,9927,0.8065932010953049
20,SNJ,9927,0.5517153615899197
20,NJ,9920,0.8504441327723236
21,SRNJ,10049,0.6070721280040237
21,DLCA-NJ,10045,0.708736664064533
21,SNJ,10042,0.6291342244757533
21,NJ,10037,0.7518561187916026
22,SRNJ,9785,0.6609231411862991
22,DLCA-NJ,9779,0.7946215809506949
22,SNJ,9774,0.6939839390227304
22,NJ,9781,0.7661294261294261
23,SRNJ,9934,0.574398284642187
23,DLCA-NJ,9933,0.7880614300100705
23,SNJ,9941,0.6396681749622927
23,NJ,9935,0.7785290899576613
24,SRNJ,9650,0.5507601978303059
24,DLCA-NJ,9648,0.7355938567834477
24,SNJ,9649,0.6608850408850409
24,NJ,9648,0.7651220032172412
25,SRNJ,10062,0.7162511230907457
25,DLCA-NJ,10067,0.7479344515133989
25,SNJ,10076,0.5302711051955764
25,NJ,10063,0.7584224949362565
26,SRNJ,10200,0.6532763532763532
26,DLCA-NJ,10189,0.694485638898161
26,SNJ,10194,0.6386399711399712
26,NJ,10191,0.6911671151626047
27,SRNJ,9890,0.5297764173542721
27,DLCA-NJ,9887,0.7176580796252927
27,SNJ,9895,0.526569200779727
27,NJ,9889,0.7744884543851397
28,SRNJ,9972,0.5871116292626057
28,DLCA-NJ,9968,0.7268350993287225
28,SNJ,9976,0.6141035975518735
28,NJ,9958,0.6856783777887742
29,SRNJ,10237,0.5086666666666667
29,DLCA-NJ,10242,0.7306357285969567
29,SNJ,10238,0.5300584453535944
29,NJ,10240,0.7134319470624886
30,SRNJ,10027,0.5887466206110274
30,DLCA-NJ,10021,0.7819031070754628
30,SNJ,10022,0.5810622576777374
30,NJ,10021,0.8356944481733055
31,SRNJ,10072,0.6794694960212202
31,DLCA-NJ,10070,0.7741944125526216
31,SNJ,10066,0.6086540870000834
31,NJ,10065,0.707071464267866
32,SRNJ,10105,0.7080233608673205
32,DLCA-NJ,10105,0.7797411003236246
32,SNJ,10098,0.7643981976123009
32,NJ,10103,0.71256038647343
33,SRNJ,10187,0.7163808769846506
33,DLCA-NJ,10182,0.6755342902711323
33,SNJ,10186,0.7063124031931372
33,NJ,10180,0.765653953889248
34,SRNJ,10208,0.7595863632562156
34,DLCA-NJ,10206,0.7683689934488657
34,SNJ,10204,0.5677837675950883
34,NJ,10195,0.7996844738341136
35,SRNJ,10134,0.6452934662236988
35,DLCA-NJ,10128,0.8169712460063897
35,SNJ,10127,0.6900639145800437
35,NJ,10125,0.7979236269587707
36,SRNJ,10184,0.6763522439377488
36,DLCA-NJ,10172,0.7843512176560121
36,SNJ,10178,0.5204900973481034
36,NJ,10168,0.7877212467248055
37,SRNJ,10081,0.6641904761904762
37,DLCA-NJ,10070,0.7109014675052411
37,SNJ,10062,0.5744242424242424
37,NJ,10061,0.6890920419806453
38,SRNJ,9892,0.5890409488258473
38,DLCA-NJ,9885,0.7430842653898427
38,SNJ,9888,0.6128572317649987
38,NJ,9884,0.771611253196931
39,SRNJ,10122,0.5767208705482718
39,DLCA-NJ,10118,0.7996126738043159
39,SNJ,10120,0.6425664076006073
39,NJ,10120,0.7539017504234895
40,SRNJ,9819,0.5837572490402678
40,DLCA-NJ,9801,0.7568131868131868
40,SNJ,9809,0.694504716981132
40,NJ,9805,0.7542460955443271
41,SRNJ,9778,0.6416862672559824
41,DLCA-NJ,9765,0.6894736842105262
41,SNJ,9758,0.5362445577345291
41,NJ,9758,0.7269334858014103
42,SRNJ,10165,0.5566670295969659
42,DLCA-NJ,10159,0.8364856638150515
42,SNJ,10163,0.7331918656056587
42,NJ,10157,0.7396420988777678
43,SRNJ,10270,0.5898819875776398
43,DLCA-NJ,10270,0.7991602662570404
43,SNJ,10268,0.5722466039707419
43,NJ,10268,0.7619635274491963
44,SRNJ,10011,0.5245367965367965
44,DLCA-NJ,10011,0.6899134199134199
44,SNJ,10011,0.533073728815741
44,NJ,10009,0.7579928315412185
45,SRNJ,9774,0.6843079331414432
45,DLCA-NJ,9763,0.7316221997073061
45,SNJ,9763,0.6932742054693274
45,NJ,9765,0.7581300813008129
46,SRNJ,10005,0.6868813652628681
46,DLCA-NJ,10006,0.7783653846153846
46,SNJ,10008,0.6808671839342766
46,NJ,10004,0.8057338056680162
47,SRNJ,10123,0.5810876504999108
47,DLCA-NJ,10121,0.789067599067599
47,SNJ,10123,0.6652661064425771
47,NJ,10121,0.8037818490657607
48,SRNJ,10005,0.599834303627407
48,DLCA-NJ,10002,0.7468962230430121
48,SNJ,10003,0.6043967280163599
48,NJ,9999,0.8249182010649901
49,SRNJ,10009,0.6039789069990412
49,DLCA-NJ,10005,0.684004884004884
49,SNJ,10012,0.6344877344877344
49,NJ,9999,0.6893686520696167
