Sample,Method,ParsimonyScore,F1Score
0,SRNJ,8832,0.502571164094224
0,DLCA-NJ,8827,0.4991156220322887
0,SNJ,8835,0.5000776054519568
0,NJ,8829,0.49915315936630894
1,SRNJ,8147,0.5004244835188978
1,DLCA-NJ,8139,0.5018487726169801
1,SNJ,8140,0.49970311148514396
1,NJ,8135,0.5001382178770241
2,SRNJ,8824,0.5433048433048434
2,DLCA-NJ,8814,0.5527497194163861
2,SNJ,8818,0.5578513817950438
2,NJ,8813,0.5496632996632997
3,SRNJ,8101,0.5461414182417941
3,DLCA-NJ,8094,0.5547931039317965
3,SNJ,8094,0.5505590746809994
3,NJ,8092,0.5637886892878701
4,SRNJ,8638,0.5567437349271259
4,DLCA-NJ,8637,0.5441283211438289
4,SNJ,8638,0.5383542066595489
4,NJ,8637,0.5444245777044237
5,SRNJ,8480,0.5510001268008385
5,DLCA-NJ,8476,0.5529539675881139
5,SNJ,8474,0.5547097268015222
5,NJ,8469,0.5769904240766074
6,SRNJ,8597,0.4959919028840261
6,DLCA-NJ,8593,0.4865359401667138
6,SNJ,8594,0.5033243492346063
6,NJ,8584,0.5088316028165653
7,SRNJ,8290,0.42837122610820977
7,DLCA-NJ,8286,0.4099982639824244
7,SNJ,8291,0.41973338984302133
7,NJ,8285,0.4162689633827155
8,SRNJ,8266,0.4995254500885758
8,DLCA-NJ,8260,0.4993204890782131
8,SNJ,8256,0.4997909969160797
8,NJ,8259,0.49739593316720976
9,SRNJ,8291,0.4207846146134955
9,DLCA-NJ,8285,0.40987003945230915
9,SNJ,8287,0.4021389370567965
9,NJ,8285,0.4274819707637686
10,SRNJ,8332,0.43560210428385776
10,DLCA-NJ,8332,0.4184611478692835
10,SNJ,8322,0.4158989011756173
10,NJ,8327,0.481989803308097
11,SRNJ,8030,0.535362352383629
11,DLCA-NJ,8028,0.534017361935012
11,SNJ,8022,0.5367752390609323
11,NJ,8027,0.5350042421396858
12,SRNJ,8688,0.4747858402620307
12,DLCA-NJ,8680,0.4781091247868657
12,SNJ,8680,0.47410881915490205
12,NJ,8676,0.487997708043791
13,SRNJ,8443,0.4297104304146558
13,DLCA-NJ,8442,0.4371806691542444
13,SNJ,8444,0.4438849298058734
13,NJ,8438,0.43768350540900736
14,SRNJ,8557,0.4794629201692399
14,DLCA-NJ,8553,0.4758552421356068
14,SNJ,8553,0.47538589640298556
14,NJ,8551,0.47720939037665017
15,SRNJ,8753,0.41164585332482995
15,DLCA-NJ,8751,0.4093630924339586
15,SNJ,8750,0.4084896017228094
15,NJ,8747,0.40736372097117207
16,SRNJ,8281,0.4700201914333742
16,DLCA-NJ,8277,0.4378232878232879
16,SNJ,8279,0.4259117557456822
16,NJ,8276,0.4503124623927656
17,SRNJ,8793,0.44951021840290356
17,DLCA-NJ,8785,0.4507045596613886
17,SNJ,8788,0.4465583631344501
17,NJ,8790,0.45845956092482315
18,SRNJ,8561,0.4718522978796951
18,DLCA-NJ,8559,0.4894577289407782
18,SNJ,8556,0.48443099239223186
18,NJ,8552,0.4870731525835991
19,SRNJ,8643,0.5196675439283991
19,DLCA-NJ,8643,0.5204865014126298
19,SNJ,8641,0.5178604442302926
19,NJ,8641,0.5565210060697425
20,SRNJ,8607,0.5416364116948027
20,DLCA-NJ,8601,0.5454695767195767
20,SNJ,8599,0.5530191262025173
20,NJ,8599,0.5616475348309259
21,SRNJ,8497,0.5483273980815692
21,DLCA-NJ,8496,0.5484263638040616
21,SNJ,8492,0.555599850721802
21,NJ,8493,0.5476161953250902
22,SRNJ,8141,0.4557064595223525
22,DLCA-NJ,8135,0.43549159699531165
22,SNJ,8146,0.44383696772458414
22,NJ,8133,0.4425142164018328
23,SRNJ,8868,0.5183773467304876
23,DLCA-NJ,8868,0.5150343359736165
23,SNJ,8865,0.5256858402495662
23,NJ,8865,0.5152939588499112
24,SRNJ,8267,0.454028379028379
24,DLCA-NJ,8266,0.44984402852049915
24,SNJ,8280,0.4582066213738812
24,NJ,8271,0.4562303367889009
25,SRNJ,8360,0.41570407467409465
25,DLCA-NJ,8350,0.42106464498247326
25,SNJ,8355,0.43056373221839783
