Sample,Method,ParsimonyScore,F1Score
0,SRNJ,10120,0.5937210615471485
0,DLCA-NJ,10116,0.6491674690589699
0,SNJ,10127,0.5869564814041729
0,NJ,10116,0.7030669265756985
1,SRNJ,9966,0.5544156920749318
1,DLCA-NJ,9968,0.6657240610825996
1,SNJ,9966,0.555640701006197
1,NJ,9964,0.5903125243550775
2,SRNJ,9977,0.4677389277389278
2,DLCA-NJ,9980,0.5196897220426633
2,SNJ,9978,0.4463146848313088
2,NJ,9980,0.5501068338232343
3,SRNJ,10294,0.49633698916307606
3,DLCA-NJ,10290,0.5692430864643063
3,SNJ,10298,0.4588981830437847
3,NJ,10290,0.5626449006513314
4,SRNJ,10102,0.46124991424847367
4,DLCA-NJ,10106,0.54598918431726
4,SNJ,10104,0.4924719289425171
4,NJ,10098,0.5093939393939394
5,SRNJ,10147,0.5231176231176231
5,DLCA-NJ,10152,0.5955818540433924
5,SNJ,10153,0.4411612903225806
5,NJ,10149,0.6152424046541694
6,SRNJ,10037,0.48105860744698614
6,DLCA-NJ,10033,0.5417097288676237
6,SNJ,10038,0.45916666666666667
6,NJ,10031,0.5422529387441669
7,SRNJ,9953,0.5494154355916525
7,DLCA-NJ,9948,0.6114635783820074
7,SNJ,9948,0.5325048147970316
7,NJ,9943,0.6352975326560232
8,SRNJ,10082,0.44517894529421903
8,DLCA-NJ,10077,0.5969793491532622
8,SNJ,10072,0.4221141506247889
8,NJ,10069,0.5344397562119081
9,SRNJ,10327,0.4687315634218289
9,DLCA-NJ,10323,0.5600949941244846
9,SNJ,10318,0.483209906035993
9,NJ,10310,0.5530260589084118
10,SRNJ,9995,0.4972219085262563
10,DLCA-NJ,9993,0.6679135562046955
10,SNJ,10007,0.5209040682462609
10,NJ,9992,0.5683839389414302
11,SRNJ,10102,0.4586170927302479
11,DLCA-NJ,10091,0.4759928008887617
11,SNJ,10096,0.4362137371630007
11,NJ,10085,0.5157910167433977
12,SRNJ,9845,0.48738871635610764
12,DLCA-NJ,9846,0.5419288537549407
12,SNJ,9853,0.5218182258494175
12,NJ,9838,0.5721293146005951
13,SRNJ,9912,0.6171929824561403
13,DLCA-NJ,9899,0.7067816600324341
13,SNJ,9914,0.5532646452752429
13,NJ,9909,0.6027501606402244
14,SRNJ,10012,0.475268049114203
14,DLCA-NJ,10003,0.5230185266047034
14,SNJ,10009,0.4765554576356541
14,NJ,10002,0.4978774343996012
15,SRNJ,10198,0.4669761852008514
15,DLCA-NJ,10189,0.5283236976841371
15,SNJ,10190,0.44678466076696166
15,NJ,10188,0.48383125956484124
16,SRNJ,9811,0.49946411483253594
16,DLCA-NJ,9798,0.5737429272445045
16,SNJ,9808,0.5371428571428571
16,NJ,9796,0.5070750317931326
17,SRNJ,10089,0.4406981254040077
17,DLCA-NJ,10075,0.47099760310769484
17,SNJ,10088,0.4791409897292249
17,NJ,10076,0.5416951182988919
18,SRNJ,10131,0.4343242444395182
18,DLCA-NJ,10137,0.5059699290381507
18,SNJ,10129,0.4303843492093004
