seed,n_cells,n_bins,n_clones,lamda,n_chrom,dist_method,tree_method,quartet_distance,rf_distance,transfer_distance,triplet_distance,rootsplit_distance
0,20,1000,6,2,10,sconce2,nj,0.0581,0.1111,0.1667,0.0233,0.0000
0,20,1000,6,2,10,med2,nj,0.0551,0.0556,0.1111,0.0226,0.0000
0,20,1000,6,2,10,sconce2,snj,0.0989,0.2222,0.1667,0.2812,0.0000
0,20,1000,6,2,10,med2,snj,0.0551,0.0556,0.1111,0.0226,0.0000
0,20,1000,6,2,10,sconce2,rnj,0.0551,0.0556,0.1111,0.0226,0.0000
0,20,1000,6,2,10,med2,rnj,0.0581,0.1111,0.1667,0.0233,0.0000
0,20,1000,6,2,10,sconce2,anj,0.0959,0.1667,0.1111,0.2805,0.0000
0,20,1000,6,2,10,med2,anj,0.0581,0.1111,0.1667,0.0233,0.0000
0,20,1000,6,2,10,sconce2,fastme,0.0638,0.1667,0.1667,0.0759,0.0000
0,20,1000,6,2,10,med2,fastme,0.0551,0.0556,0.1111,0.0226,0.0000
0,20,1000,6,2,10,sconce2,srnj1,0.0608,0.1111,0.1111,0.0752,0.0000
0,20,1000,6,2,10,med2,srnj1,0.0581,0.1111,0.1667,0.0233,0.0000
0,20,1000,6,2,10,sconce2,srnj,0.0551,0.0556,0.1111,0.0226,0.0000
0,20,1000,6,2,10,med2,srnj,0.0581,0.1111,0.1667,0.0233,0.0000
0,20,1000,6,2,10,sconce2,srnjmaxlca,0.0551,0.0556,0.1111,0.0226,0.0000
0,20,1000,6,2,10,med2,srnjmaxlca,0.0448,0.1111,0.1111,0.0173,0.0000
0,50,1000,6,2,10,sconce2,nj,0.0037,0.0625,0.0625,0.0011,0.0000
0,50,1000,6,2,10,med2,nj,0.0011,0.0833,0.0833,0.0003,0.0000
0,50,1000,6,2,10,sconce2,snj,0.0770,0.1875,0.3958,0.0295,0.0000
0,50,1000,6,2,10,med2,snj,0.0493,0.1875,0.2708,0.0194,0.0000
0,50,1000,6,2,10,sconce2,rnj,0.0006,0.0625,0.0625,0.0001,0.0000
0,50,1000,6,2,10,med2,rnj,0.0011,0.0833,0.0833,0.0003,0.0000
0,50,1000,6,2,10,sconce2,anj,0.0239,0.1250,0.1875,0.0080,0.0000
0,50,1000,6,2,10,med2,anj,0.0013,0.1042,0.1042,0.0003,0.0000
0,50,1000,6,2,10,sconce2,fastme,0.0004,0.0417,0.0417,0.0001,0.0000
0,50,1000,6,2,10,med2,fastme,0.0013,0.1042,0.1042,0.0003,0.0000
0,50,1000,6,2,10,sconce2,srnj1,0.0715,0.3958,0.4583,0.0260,0.0000
0,50,1000,6,2,10,med2,srnj1,0.0868,0.5000,0.7500,0.0557,0.0000
0,50,1000,6,2,10,sconce2,srnj,0.0254,0.1667,0.1667,0.0090,0.0000
0,50,1000,6,2,10,med2,srnj,0.2506,0.6042,1.4167,0.2215,0.0000
0,50,1000,6,2,10,sconce2,srnjmaxlca,0.0409,0.1875,0.2708,0.0154,0.0000
0,50,1000,6,2,10,med2,srnjmaxlca,0.2475,0.5417,1.2083,0.2725,0.0000
1,20,1000,6,2,10,sconce2,nj,0.0130,0.1111,0.1111,0.0038,0.0000
1,20,1000,6,2,10,med2,nj,0.0281,0.1667,0.1667,0.0083,0.0000
1,20,1000,6,2,10,sconce2,snj,0.0100,0.0556,0.0556,0.0030,0.0000
1,20,1000,6,2,10,med2,snj,0.0331,0.1667,0.2222,0.0098,0.0000
1,20,1000,6,2,10,sconce2,rnj,0.0211,0.1667,0.1667,0.0060,0.0000
1,20,1000,6,2,10,med2,rnj,0.0130,0.1111,0.1111,0.0038,0.0000
1,20,1000,6,2,10,sconce2,anj,0.0100,0.0556,0.0556,0.0030,0.0000
1,20,1000,6,2,10,med2,anj,0.0130,0.1111,0.1111,0.0038,0.0000
1,20,1000,6,2,10,sconce2,fastme,0.0130,0.1111,0.1111,0.0038,0.0000
1,20,1000,6,2,10,med2,fastme,0.0281,0.1667,0.1667,0.0083,0.0000
1,20,1000,6,2,10,sconce2,srnj1,0.1988,0.6111,0.7222,0.2444,1.0000
1,20,1000,6,2,10,med2,srnj1,0.0672,0.2778,0.2222,0.1842,0.0000
1,20,1000,6,2,10,sconce2,srnj,0.0451,0.2222,0.1667,0.1774,0.0000
1,20,1000,6,2,10,med2,srnj,0.3636,0.6667,1.1111,0.4180,0.0000
1,20,1000,6,2,10,sconce2,srnjmaxlca,0.0211,0.1667,0.1667,0.0060,0.0000
1,20,1000,6,2,10,med2,srnjmaxlca,0.0551,0.2778,0.2778,0.0902,1.0000
1,50,1000,6,2,10,sconce2,nj,0.1106,0.1250,0.3542,0.0777,0.0000
1,50,1000,6,2,10,med2,nj,0.1126,0.1667,0.4167,0.0783,0.0000
1,50,1000,6,2,10,sconce2,snj,0.0301,0.2083,0.2500,0.0106,0.0000
1,50,1000,6,2,10,med2,snj,0.1125,0.2292,0.4583,0.0782,0.0000
1,50,1000,6,2,10,sconce2,rnj,0.0387,0.2083,0.3125,0.0141,0.0000
1,50,1000,6,2,10,med2,rnj,0.1143,0.2083,0.4375,0.0788,0.0000
1,50,1000,6,2,10,sconce2,anj,0.1270,0.2292,0.5208,0.0832,0.0000
1,50,1000,6,2,10,med2,anj,0.1352,0.2500,0.5417,0.0862,0.0000
